"","title","code","type","last update of data","last table structure change","data start","data end","values","table_w_code"
"1","Consumers - monthly data","ei_bsco_m","dataset","30.07.2019","30.07.2019","1980M01","2019M07",NA,"Consumers - monthly data (ei_bsco_m)"
"2","Consumers - quarterly data","ei_bsco_q","dataset","30.07.2019","30.07.2019","1990Q1","2019Q3",NA,"Consumers - quarterly data (ei_bsco_q)"
"3","Industry - monthly data","ei_bsin_m_r2","dataset","30.07.2019","30.07.2019","1980M01","2019M07",NA,"Industry - monthly data (ei_bsin_m_r2)"
"4","Industry - quarterly data","ei_bsin_q_r2","dataset","30.07.2019","30.07.2019","1980Q1","2019Q3",NA,"Industry - quarterly data (ei_bsin_q_r2)"
"5","Construction - monthly data","ei_bsbu_m_r2","dataset","30.07.2019","30.07.2019","1980M01","2019M07",NA,"Construction - monthly data (ei_bsbu_m_r2)"
"6","Construction - quarterly data","ei_bsbu_q_r2","dataset","30.07.2019","30.07.2019","1981Q1","2019Q3",NA,"Construction - quarterly data (ei_bsbu_q_r2)"
"7","Retail sale - monthly data","ei_bsrt_m_r2","dataset","30.07.2019","30.07.2019","1984M01","2019M07",NA,"Retail sale - monthly data (ei_bsrt_m_r2)"
"8","Sentiment indicators - monthly data","ei_bssi_m_r2","dataset","30.07.2019","30.07.2019","1980M01","2019M07",NA,"Sentiment indicators - monthly data (ei_bssi_m_r2)"
"9","Services - monthly data","ei_bsse_m_r2","dataset","30.07.2019","30.07.2019","1988M01","2019M07",NA,"Services - monthly data (ei_bsse_m_r2)"
"10","Services - quarterly data","ei_bsse_q_r2","dataset","30.07.2019","30.07.2019","2001Q2","2019Q3",NA,"Services - quarterly data (ei_bsse_q_r2)"
"11","Euro-zone Business Climate Indicator - monthly data","ei_bsci_m_r2","dataset","30.07.2019","30.07.2019","1985M01","2019M07",NA,"Euro-zone Business Climate Indicator - monthly data (ei_bsci_m_r2)"
"12","Financial services - monthly data","ei_bsfs_m","dataset","30.07.2019","30.07.2019","2006M04","2019M07",NA,"Financial services - monthly data (ei_bsfs_m)"
"13","Financial services - quarterly data","ei_bsfs_q","dataset","30.07.2019","30.07.2019","2007Q3","2019Q3",NA,"Financial services - quarterly data (ei_bsfs_q)"
"14","Current account - quarterly data","ei_bpm6ca_q","dataset","01.08.2019","01.08.2019","1982Q1","2019Q1",NA,"Current account - quarterly data (ei_bpm6ca_q)"
"15","Financial account - quarterly data","ei_bpm6fa_q","dataset","01.08.2019","01.08.2019","1982Q1","2019Q1",NA,"Financial account - quarterly data (ei_bpm6fa_q)"
"16","Current account - monthly data","ei_bpm6ca_m","dataset","22.07.2019","22.07.2019","1991M01","2019M05",NA,"Current account - monthly data (ei_bpm6ca_m)"
"17","Financial account - monthly data","ei_bpm6fa_m","dataset","22.07.2019","22.07.2019","1991M01","2019M05",NA,"Financial account - monthly data (ei_bpm6fa_m)"
"18","International investment position - quarterly data","ei_bpm6iip_q","dataset","16.07.2019","16.07.2019","1992Q4","2019Q1",NA,"International investment position - quarterly data (ei_bpm6iip_q)"
"19","Harmonised indices - monthly data","ei_cphi_m","dataset","01.08.2019","01.08.2019","1996M01","2019M07",NA,"Harmonised indices - monthly data (ei_cphi_m)"
"20","EU28 international trade - monthly data","ei_eteu28_m","dataset","16.07.2019","16.07.2019","1999M01","2019M05",NA,"EU28 international trade - monthly data (ei_eteu28_m)"
"21","Euro area 19 international trade - monthly data","ei_etea19_m","dataset","16.07.2019","16.07.2019","1999M01","2019M05",NA,"Euro area 19 international trade - monthly data (ei_etea19_m)"
"22","Industry - monthly data - index (2015 = 100) (NACE Rev. 2)","ei_isin_m","dataset","09.08.2019","09.08.2019","1980M01","2019M07",NA,"Industry - monthly data - index (2015 = 100) (NACE Rev. 2) (ei_isin_m)"
